ID,Airport,Country,Centrality,Closeness,Eigenvector,Betweenness,International
21,Sault Ste Marie,Canada,2,0.23184587839848572,0.007419811650577165,0.0,False
24,St Anthony,Canada,2,0.2273146885926521,0.007675577049603238,0.0035302292934802247,False
27,Baie Comeau,Canada,2,0.22487307002559892,0.0063238525924849374,0.0,False
28,Bagotville,Canada,3,0.26635728777841294,0.02351842504487697,0.004413504575291638,False
29,Baker Lake,Canada,4,0.2328774507161653,0.005315257611108214,0.0018287525595118022,False
30,Campbell River,Canada,2,0.2525414091602323,0.027210765454258667,0.0,False
32,Cambridge Bay,Canada,5,0.21945160188032767,0.0036792705706072794,0.008082558157603965,False
37,Kugluktuk,Canada,3,0.21968187638387474,0.00310274662761802,0.007937633472700331,False
40,Clyde River,Canada,2,0.21830743294455954,0.0020744054819008652,0.00372887512561569,False
41,Fairmont Hot Springs,Canada,4,0.2215416171363308,0.002793969251658092,0.003328323508765673,False
42,Dawson City,Canada,3,0.21740065233004424,0.006202568489927931,0.03443029207048988,False
45,Deer Lake,Canada,4,0.27331178615382845,0.03630639690303983,0.013796787873174272,False
48,Dawson Creek,Canada,2,0.2531521501739209,0.023225630363539904,0.0002792731809144425,False
49,Edmonton Intl,Canada,23,0.34661726522157715,0.2220059347227579,0.1729524620572999,True
50,Arviat,Canada,3,0.21899249811070357,0.004200214501778225,0.0,False
54,Inuvik Mike Zubko,Canada,9,0.18895020595111245,0.0010213164627672123,0.03660340513840092,False
55,Iqaluit,Canada,8,0.2813935862820331,0.022423107717637756,0.07857911406733835,False
58,Flin Flon,Canada,2,0.2504268279830533,0.015000290926497132,0.0,False
60,Fort Simpson,Canada,1,0.21672549502467142,0.002734617961592147,0.0,False
62,La Grande Riviere,Canada,5,0.26875074222571577,0.022817682563976427,0.028934035996412213,False
65,Iles De La Madeleine,Canada,2,0.22272002999343896,0.005832835662461267,0.0,False
67,Dryden Rgnl,Canada,4,0.23158941171884137,0.008594852936956497,0.0012685850918278507,False
68,Ulukhaktok Holman,Canada,2,0.182049415820724,0.0003745101739987396,0.000753706808051668,False
69,Gjoa Haven,Canada,3,0.21785309905705788,0.003375245729269936,0.0,False
70,Hamilton,Canada,1,0.2531521501739209,0.02491616731173425,0.0,False
71,St Hubert,Canada,5,0.22633170615549472,0.009515017215836356,0.017309637979397444,False
72,Hay River,Canada,3,0.26500864328333246,0.025255561253051444,0.0,False
73,Halifax Intl,Canada,7,0.3051848807490271,0.14157430844527616,0.0024069290160642852,True
75,Pond Inlet,Canada,2,0.17955131062935903,0.00042053137378191436,3.2487362416020164e-05,False
77,Stephenville,Canada,2,0.22560003038128515,0.010788986144541676,0.0,False
78,Kamloops,Canada,3,0.25500222678907747,0.03864791758736501,0.00012211556943907842,False
79,Waterloo,Canada,2,0.2646736133929615,0.042062549515043436,0.0,False
80,Schefferville,Canada,4,0.24259192142970173,0.012889801067746646,0.005404724077485372,False
85,Lloydminster,Canada,1,0.2531521501739209,0.02491616731173425,0.0,False
87,Kelowna,Canada,7,0.28679017560798986,0.10925100535354836,0.0022513151330891762,False
90,Fort Mcmurray,Canada,4,0.28026349155800884,0.07244363165891891,0.006103495545427639,False
91,Moosonee,Canada,2,0.17893745999472874,0.0002463645340748009,0.03337101867373592,False
94,Natashquan,Canada,2,0.213629416524319,0.003262151011811077,0.0,False
97,Old Crow,Canada,2,0.18189124951679636,0.0006559971679665574,0.0,False
98,Cold Lake,Canada,1,0.2531521501739209,0.02491616731173425,0.0,False
99,High Level,Canada,2,0.25531320511443,0.022173475930302784,0.0,False
100,Ottawa Macdonald Cartier Intl,Canada,15,0.34433688847669836,0.1888206830416637,0.11722630436984646,True
105,Pickle Lake,Canada,3,0.19015152424507958,0.0017495026196098784,0.0,False
108,Prince Rupert,Canada,2,0.2525414091602323,0.02366081266848608,0.0,False
109,Fort Chipewyan,Canada,2,0.22463178990754573,0.008939466963047472,1.94924174496121e-05,False
111,Quebec Jean Lesage Intl,Canada,10,0.28916688977048705,0.05839979933095082,0.05302922393115249,False
115,Kenora,Canada,3,0.25469200510198614,0.014975638345699743,0.0026286377925987415,False
117,Greater Moncton Intl,Canada,2,0.27295544744958616,0.043702135352389905,0.0,False
119,Comox,Canada,4,0.26669659642526444,0.068534340772961,0.0006828766228984541,False
120,Regina Intl,Canada,3,0.27951512442434256,0.07163184803886474,0.0,False
121,Thunder Bay,Canada,12,0.29486877210398954,0.05257179628149433,0.141336701825391,False
122,Grande Prairie,Canada,2,0.26104342667560176,0.045076094889784035,0.0,False
127,Quesnel,Canada,2,0.2525414091602323,0.023083448077868267,0.0,False
128,Resolute Bay,Canada,3,0.1904975688751889,0.0005491671337412382,0.009423980500156864,False
130,Roberval,Canada,2,0.18348538842579545,0.0009503481007572584,0.0,False
132,Rankin Inlet,Canada,10,0.281772312508523,0.022264060333675187,0.0635421105493361,False
133,Sudbury,Canada,6,0.27692702142041353,0.02913656354773101,0.062298827734177144,False
136,Fort Smith,Canada,4,0.2653445224256433,0.02599976397157991,0.0023172287928047946,False
139,Sachs Harbour,Canada,1,0.15800515335383594,9.27471304220637e-05,0.0,False
140,Cape Dorset,Canada,3,0.22177630105278878,0.002349181852501326,0.010678530525663569,False
141,Thompson,Canada,3,0.2513287253227282,0.016950464749125583,0.0,False
143,Timmins,Canada,3,0.21785309905705788,0.002690414626248304,0.04978363416630931,False
144,City Centre,Canada,5,0.29158332617525434,0.04956387605821252,0.022105465236825605,False
145,Tuktoyaktuk,Canada,1,0.15800515335383594,9.27471304220637e-05,0.0,False
146,Pierre Elliott Trudeau Intl,Canada,20,0.3584877195099873,0.2168821824543854,0.25715894474296064,True
147,Repulse Bay,Canada,4,0.22107373621312842,0.0029903576266164015,0.001881539492331107,False
148,Hall Beach,Canada,3,0.22084053606944368,0.002318242473989613,0.00975434971380548,False
149,Rouyn Noranda,Canada,1,0.2085227372448532,0.0019035848951226776,0.0,False
152,Qikiqtarjuaq,Canada,1,0.17802451377026582,0.00018644591268018385,0.0,False
153,Val D Or,Canada,4,0.2660188414152892,0.020962713923539093,0.024385922804600432,False
154,Kuujjuaq,Canada,9,0.28026349155800884,0.024492271783678896,0.07495020344541348,False
155,Norman Wells,Canada,6,0.22177630105278878,0.0032268415544567737,0.03490215211088808,False
156,Vancouver Intl,Canada,26,0.34152826785290796,0.2311178745165507,0.13855058706015608,True
160,Winnipeg Intl,Canada,16,0.3376723035384397,0.15018594069604607,0.16699150552887682,False
161,Wabush,Canada,6,0.2711876012873479,0.026458712374171363,0.0192105009049881,False
162,Williams Lake,Canada,2,0.2525414091602323,0.023083448077868267,0.0,False
164,Canadian Rockies Intl,Canada,1,0.25223714240220796,0.02098727742033194,0.0,False
166,Saskatoon J G Diefenbaker Intl,Canada,3,0.27951512442434256,0.07163184803886474,0.0,False
168,Fort St John,Canada,3,0.257195120631244,0.026209153814464925,0.00039531213267129977,False
169,Sioux Lookout,Canada,17,0.23576219391197364,0.010656346149077884,0.06572067976231744,False
170,Pangnirtung,Canada,2,0.21830743294455954,0.002053147810940919,0.008459709173131652,False
172,Prince George,Canada,6,0.25469200510198614,0.04196593303859613,0.0007243500460139191,False
173,Terrace,Canada,4,0.2537658523561607,0.02944141777055252,6.172598859043832e-05,False
174,London,Canada,2,0.26635728777841294,0.03855429441723734,0.0,False
175,Abbotsford,Canada,2,0.26104342667560176,0.045076094889784035,0.0,False
176,Whitehorse Intl,Canada,4,0.27189198466731507,0.06662662234766047,0.04173131625779531,False
177,North Bay,Canada,2,0.2630110906957696,0.019792237722418282,0.0,False
178,Calgary Intl,Canada,25,0.3432079150718567,0.2743850320251901,0.08447833486270073,True
179,Smithers,Canada,3,0.25345862977461575,0.027471685961693252,0.0,False
180,Fort Nelson,Canada,3,0.2562507077035895,0.024649038212857258,0.0005230465348979246,False
182,Charlottetown,Canada,1,0.2643394295376674,0.026555753149080707,0.0,False
183,Taloyoak,Canada,3,0.21785309905705788,0.003375245729269936,0.0,False
184,Victoria Intl,Canada,5,0.2860065958932139,0.10254000244162027,0.0,False
187,Churchill,Canada,6,0.26400608851681284,0.019525212058391025,0.007089788420025526,False
188,Goose Bay,Canada,8,0.23365717432347388,0.014082607684800507,0.04762819354928373,False
189,St Johns Intl,Canada,8,0.29404048903628177,0.08250501358978164,0.048607265118318956,False
190,Kapuskasing,Canada,1,0.17772226502023142,0.0002443157895994882,0.0,False
192,Mont Joli,Canada,4,0.22905561071535296,0.011239958201739647,0.0007597169700986316,False
193,Lester B Pearson Intl,Canada,23,0.364098831641448,0.29244258342878,0.1900326816307776,True
196,Yellowknife,Canada,15,0.27951512442434256,0.030113784566478397,0.1342386086015171,False
200,Port Hardy,Canada,2,0.2528464108621167,0.021161782187706448,0.008459709173131652,False
202,Sept Iles,Canada,9,0.27260003671071953,0.03259453026788433,0.04938099607694962,False
206,Fort Mcpherson,Canada,1,0.15800515335383594,9.27471304220637e-05,0.0,False
465,Aldergrove,United Kingdom,10,0.257195120631244,0.13006713888147978,0.01494474173188034,False
467,City,United Kingdom,19,0.261369323587806,0.2294447358816654,0.021040407996979926,False
468,Londonderry Eglinton,United Kingdom,4,0.21991263465738717,0.024273378984704667,0.002380954183554968,False
469,Birmingham,United Kingdom,8,0.2813935862820331,0.12423144980587918,0.015666760212443214,True
478,Manchester,United Kingdom,14,0.29077337249143415,0.22773632449395004,0.03409840715972866,True
481,St Mawgan,United Kingdom,8,0.2437215694922382,0.10454761650337194,0.026314077359053018,False
488,Cardiff,United Kingdom,5,0.22439102700303604,0.08001567168976037,0.00013226997555093928,False
490,Bristol,United Kingdom,11,0.23184587839848572,0.14909324106579752,0.0018867723238735832,False
491,Liverpool,United Kingdom,5,0.20873063628497768,0.062368706658048466,0.0004951240634060018,False
492,Luton,United Kingdom,5,0.22487307002559892,0.08212303093221969,0.00011293225982711773,False
493,Plymouth,United Kingdom,3,0.2229572185237834,0.04227987828232575,0.0,False
495,Southampton,United Kingdom,9,0.23056919404607115,0.12412148817127008,0.0019701835380918336,False
502,Gatwick,United Kingdom,14,0.31293995245714884,0.24246405630161263,0.06457903878251932,True
507,Heathrow,United Kingdom,14,0.3317857816067078,0.26157786912415154,0.08621813007401788,True
510,Manston,United Kingdom,1,0.2052517923468947,0.017091046325025828,0.0,False
514,Blackpool,United Kingdom,1,0.20306190901438662,0.011810408242791401,0.0,False
515,Humberside,United Kingdom,2,0.20565503751849962,0.021330781758070436,0.0,False
517,Leeds Bradford,United Kingdom,7,0.20977638095574408,0.08589914397895997,0.00041231103957703295,False
521,Newcastle,United Kingdom,10,0.2581465205842572,0.14700755438078747,0.0026430351042915886,False
522,Durham Tees Valley Airport,United Kingdom,3,0.2066701166770312,0.03531994187039245,0.0,False
523,Nottingham East Midlands,United Kingdom,4,0.22463178990754573,0.0734236895740659,5.7982206826306456e-05,False
529,Kirkwall,United Kingdom,6,0.02643171806167401,3.85478140132292e-15,0.00016243681208010083,False
530,Sumburgh,United Kingdom,1,0.20505076218788698,0.0162497889639195,0.0,False
531,Wick,United Kingdom,1,0.20505076218788698,0.0162497889639195,0.0,False
532,Dyce,United Kingdom,18,0.26039406491770223,0.17895834248319523,0.04825249205150262,False
533,Inverness,United Kingdom,6,0.24231114374286183,0.09580539073066277,0.00044420018603125877,False
534,Glasgow,United Kingdom,16,0.28406625263749335,0.21198492158013443,0.041354986485323444,True
535,Edinburgh,United Kingdom,16,0.26071834146180894,0.18822297335720037,0.0177780676367947,False
537,Prestwick,United Kingdom,2,0.18268484135587487,0.008740122074492948,0.0,False
541,Stornoway,United Kingdom,1,0.20505076218788698,0.0162497889639195,0.0,False
547,Norwich,United Kingdom,4,0.22855548929457709,0.05595691795065164,0.0008109579170092204,False
548,Stansted,United Kingdom,6,0.22463178990754573,0.07198196635675957,0.006555395195564069,False
552,Exeter,United Kingdom,6,0.22855548929457709,0.09900146875532809,0.0003316891559877953,False
4106,Victoria Inner Harbour Airport,Canada,1,0.004405286343612335,1.256752491000845e-29,0.0,False
4107,Vancouver Coal Harbour,Canada,1,0.004405286343612335,1.256752491000845e-29,0.0,False
4237,Deline,Canada,3,0.21945160188032767,0.0030796585990128015,0.004008940522136888,False
4238,Tulita,Canada,2,0.1804800243050281,0.0005726988647642727,0.0,False
4239,Fort Good Hope,Canada,3,0.18189124951679636,0.000415819952968103,0.00016893428456330486,False
4244,Paulatuk,Canada,1,0.15800515335383594,9.27471304220637e-05,0.0,False
4347,ISLES OF SCILLY,United Kingdom,2,0.1952955486882767,0.00957273719980951,0.016841448676464855,False
5573,Penzance Heliport,United Kingdom,2,0.1626704181770261,0.0008764444626562622,0.00845970917313165,False
5571,Westray Airport,United Kingdom,3,0.017621145374449337,2.3814951735092984e-15,1.2994944966408067e-05,False
5569,Sanday Airport,United Kingdom,4,0.019823788546255508,3.019258765707638e-15,3.2487362416020164e-05,False
5568,Stronsay Airport,United Kingdom,3,0.017621145374449337,2.306611869022259e-15,1.2994944966408067e-05,False
5567,Papa Westray Airport,United Kingdom,5,0.02265575833857772,3.394619614945193e-15,9.096461476485646e-05,False
5566,North Ronaldsay Airport,United Kingdom,3,0.017621145374449337,2.559096979329911e-15,0.0,False
5564,Eday Airport,United Kingdom,2,0.015859030837004406,1.8066544842829935e-15,0.0,False
5562,Robin Hood Doncaster Sheffield Airport,United Kingdom,1,0.20565503751849962,0.020834037655815266,0.0,False
5550,Churchill Falls Airport,Canada,2,0.21472495199367447,0.003681495595659888,0.0,False
5548,Sandy Lake Airport,Canada,4,0.21276100426202502,0.0029264765463803267,0.0002944283245246171,False
5547,Round Lake (Weagamow Lake) Airport,Canada,3,0.18997897295266117,0.0010952554080858534,0.0022628136343287642,False
5546,Sachigo Lake Airport,Canada,2,0.18980673453656627,0.0009983434505382105,0.00222382879942954,False
5545,Masset Airport,Canada,1,0.25223714240220796,0.02098727742033194,0.0,False
5544,Muskrat Dam Airport,Canada,3,0.15932787533777215,0.00033734150258771153,5.84772523488363e-05,False
5543,Kashechewan Airport,Canada,2,0.13134054466363398,2.06592474376878e-06,0.016841448676464855,False
5539,Eastmain River Airport,Canada,2,0.17548770175509856,0.00046107448808150957,8.836562577157486e-05,False
5535,Salluit Airport,Canada,4,0.19084487529064048,0.0006523579339770315,0.013221890923290987,False
5534,Whale Cove Airport,Canada,4,0.21922180962704985,0.004463583653802278,6.497472483204034e-05,False
5533,Webequie Airport,Canada,5,0.23133351181638961,0.006209757187211694,0.010275051985534907,False
5532,Deer Lake Airport,Canada,3,0.2066701166770312,0.0020393314553044614,0.0,False
5531,Big Trout Lake Airport,Canada,6,0.23158941171884137,0.006858125017113208,0.010779812829944281,False
5529,Sanikiluaq Airport,Canada,2,0.2093568281938326,0.002283104574440322,0.0,False
5527,Red Lake Airport,Canada,8,0.2623519150298654,0.01644389195953629,0.050175613911922344,False
5526,Rae Lakes Airport,Canada,1,0.21672549502467142,0.002734617961592147,0.0,False
5524,The Pas Airport,Canada,2,0.2504268279830533,0.015000290926497132,0.0,False
5523,Powell River Airport,Canada,1,0.25223714240220796,0.02098727742033194,0.0,False
5522,Peawanuck Airport,Canada,1,0.1033350583385156,1.7180268456136045e-08,0.0,False
5521,Pikangikum Airport,Canada,5,0.21297744475466188,0.0030867390305153735,0.0007499011455972199,False
5520,Inukjuak Airport,Canada,3,0.22037560862508693,0.002875957931239992,0.0013878601224123818,False
5516,Wemindji Airport,Canada,3,0.2112581515578533,0.0025304574041684898,0.004298449331781365,False
5515,Umiujaq Airport,Canada,3,0.21450494691991046,0.0025225267290894006,0.0004684677660390108,False
5514,Chapais Airport,Canada,2,0.26268108932726797,0.01987945099793954,0.007969150000649749,False
5512,Kangiqsualujjuaq (Georges River) Airport,Canada,2,0.22130742938037273,0.002359692487317031,0.0025376803835099673,False
5511,Lutselke Airport,Canada,1,0.21672549502467142,0.002734617961592147,0.0,False
5510,Lansdowne House Airport,Canada,2,0.1869257394587791,0.0010057195174647767,4.2233571140826216e-05,False
5508,Aupaluk Airport,Canada,3,0.21808002936857562,0.0026740694516751715,5.197977986563227e-05,False
5507,Waskaganish Airport,Canada,4,0.21232944035885662,0.002546941775382336,0.004841545210341748,False
5506,Akulivik Airport,Canada,2,0.18110452265902474,0.00043172500468200374,0.0026406049273048574,False
5504,Ivujivik Airport,Canada,2,0.15957075319651876,9.844619028644188e-05,0.00011370576845607058,False
5503,Chevery Airport,Canada,4,0.21472495199367447,0.003328858239187551,0.022475840861981917,False
5502,Hopedale Airport,Canada,2,0.15812449259352915,0.0001421115863667987,0.0,False
5501,Nemiscau Airport,Canada,2,0.2089389502932461,0.002036499719964976,9.096461476485646e-05,False
5499,Quaqtaq Airport,Canada,2,0.17924385975499366,0.00023324762269037966,0.0017320098866723537,False
5498,Grise Fiord Airport,Canada,1,0.15908573570959925,4.987100789498343e-05,0.0,False
5497,Gillam Airport,Canada,3,0.2513287253227282,0.016950464749125583,0.0,False
5496,Kuujjuarapik Airport,Canada,5,0.26669659642526444,0.022619501038431838,0.019174567283802787,False
5495,Igloolik Airport,Canada,4,0.2201438782269533,0.002556483729516152,0.005382038260243113,False
5492,Makkovik Airport,Canada,3,0.1582440122402363,0.00025046643705080546,5.84772523488363e-05,False
5491,Fort Hope Airport,Canada,2,0.22633170615549472,0.004865286153014867,0.003833972870267752,False
5490,Fort Albany Airport,Canada,2,0.1515979928992271,2.2560196361864988e-05,0.025145218509999612,False
5489,Fort Severn Airport,Canada,2,0.18963480814658748,0.0015904944057078478,0.0,False
5488,Nain Airport,Canada,2,0.19547789747323305,0.0014931037299815103,0.0010004772645605363,False
5487,Chesterfield Inlet Airport,Canada,4,0.21968187638387474,0.003163545710221908,0.00014294439463048873,False
5485,Lourdes De Blanc Sablon Airport,Canada,3,0.18997897295266117,0.0020205423552370526,0.0031830492583327053,False
5482,Attawapiskat Airport,Canada,2,0.11573069551897879,1.8917559627002475e-07,0.008459709173131652,False
5481,Kangirsuk Airport,Canada,3,0.21830743294455954,0.0024881164342646905,0.00980187071081176,False
5480,Kasabonika Airport,Canada,6,0.23133351181638961,0.006868526338905305,0.012585831610124632,False
5479,Fort Frances Municipal Airport,Canada,2,0.22633170615549472,0.006133882065330531,0.00017162609459206085,False
5478,Cat Lake Airport,Canada,2,0.18980673453656627,0.0010671707416012336,0.0,False
5474,La Tabatière Airport,Canada,2,0.15137876225150584,7.27650295377563e-05,0.00014294439463048873,False
5473,Tête-à-la-Baleine Airport,Canada,2,0.17593010772590975,0.0003088997212423138,0.0036297926985003593,False
5472,Chisasibi Airport,Canada,4,0.21319432606296598,0.004587143296427166,0.0007543565552999884,False
5471,Poplar Hill Airport,Canada,2,0.20646629999391775,0.0016680789291671524,0.0,False
5469,Kingfisher Lake Airport,Canada,2,0.18980673453656627,0.001052819637912598,0.00017738099879147012,False
5468,Bearskin Lake Airport,Canada,3,0.18997897295266117,0.0016211295947231028,0.0038950970695748994,False
5467,North Spirit Lake Airport,Canada,3,0.2066701166770312,0.001925053648639531,1.94924174496121e-05,False
5466,Wunnumin Lake Airport,Canada,3,0.18759572418802206,0.000937226776505388,3.89848348992242e-05,False
5465,Wapekeka Airport,Canada,3,0.18997897295266117,0.002214225159756795,0.0,False
5464,Summer Beaver Airport,Canada,5,0.1904975688751889,0.0023993327915107884,0.0003365690746299689,False
5463,Whatì Airport,Canada,1,0.21672549502467142,0.002734617961592147,0.0,False
5462,Colville Lake Airport,Canada,2,0.1804800243050281,0.0003307942408881383,0.0,False
5461,Rigolet Airport,Canada,2,0.18860975512957892,0.0013015667066951064,0.004190869751666602,False
5457,Anahim Lake Airport,Canada,2,0.2525414091602323,0.023083448077868267,0.0,False
6789,St Augustin Airport,Canada,3,0.17924385975499366,0.0004923840071055378,0.005370506185233868,False
6775,Bonaventure Airport,Canada,2,0.22272002999343896,0.005832835662461267,0.0,False
6738,Bella Coola Airport,Canada,2,0.2525414091602323,0.023083448077868267,0.0,False
6728,Tasiujaq Airport,Canada,2,0.21740065233004424,0.0024669350934637215,0.0,False
6727,Puvirnituq Airport,Canada,5,0.22248334558324398,0.004655747620604333,0.022806585586361162,False
7252,Postville Airport,Canada,3,0.18877982704583643,0.0013144719783667513,0.012572609254999806,False
7253,Kangiqsujuaq - Wakeham Bay Airport,Canada,2,0.15993646156900887,8.042243965806309e-05,0.00031187867919379357,False
7254,Alma Airport,Canada,2,0.18348538842579545,0.0009503481007572584,0.0,False
7255,Havre Saint-Pierre Airport,Canada,1,0.21254500324246967,0.0029598592225776018,0.0,False
7266,Rainbow Lake Airport,Canada,2,0.25531320511443,0.022173475930302784,0.0,False
7275,Bella Bella Airport,Canada,1,0.20034146238644268,0.0019216658901618153,0.0,False
7498,Tresco Heliport,United Kingdom,1,0.13920001874589932,7.95815991432143e-05,0.0,False
